V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
GCA_000310565.1_ASM31056v1.fna,sagalactiae,67,adhP(13),pheS(1),atr(1),glnA(13),sdhA(1),glcK(1),tkt(5),"","",""
GCA_000311325.1_ASM31132v1.fna,sagalactiae,-,adhP(-),pheS(1),atr(6),glnA(13),sdhA(1),glcK(1),tkt(1),"","",""
GCA_000322605.1_ASM32260v1.fna,sagalactiae,415,adhP(13),pheS(1),atr(2),glnA(13),sdhA(1),glcK(1),tkt(5),"","",""
GCA_000344575.1_ASM34457v1.fna,-,-,"","","","","","","","","",""
GCA_000348965.1_YF11_v1.fna,-,-,"","","","","","","","","",""
GCA_000407445.1_Ente_mora_BAA-383_V2.fna,-,-,"","","","","","","","","",""
GCA_000420785.1_ASM42078v1.fna,-,-,"","","","","","","","","",""
GCA_000421425.1_ASM42142v1.fna,sbsec,33,ddl(18),gki(18),glnA(10),mutS(16),mutS2(18),pheS(17),proS(18),pyrE(15),thrS(20),tpi(9)
GCA_000422505.1_ASM42250v1.fna,-,-,"","","","","","","","","",""
GCA_000424045.1_ASM42404v1.fna,sbsec,19,ddl(11),gki(11),glnA(10),mutS(12),mutS2(12),pheS(11),proS(10),pyrE(15),thrS(15),tpi(9)
GCA_000428805.1_ASM42880v1.fna,-,-,"","","","","","","","","",""
GCA_000440075.1_version1.fna,ssuis,329,aroA(16),cpn60(110),dpr(98),gki(136),mutS(133),recA(106),thrA(81),"","",""
GCA_000440135.1_version1.fna,ssuis,953,aroA(91),cpn60(140),dpr(74),gki(129),mutS(314),recA(34),thrA(81),"","",""
GCA_000440175.1_version1.fna,ssuis,332,aroA(121),cpn60(64),dpr(74),gki(103),mutS(141),recA(39),thrA(98),"","",""
GCA_000440195.1_version1.fna,ssuis,872,aroA(91),cpn60(77),dpr(99),gki(138),mutS(133),recA(37),thrA(100),"","",""
GCA_000440895.1_version1.fna,ssuis,68,aroA(14),cpn60(20),dpr(31),gki(27),mutS(27),recA(34),thrA(18),"","",""
GCA_000441095.1_version1.fna,ssuis,310,aroA(113),cpn60(110),dpr(98),gki(124),mutS(133),recA(106),thrA(94),"","",""
GCA_000441115.1_version1.fna,ssuis,328,aroA(108),cpn60(64),dpr(106),gki(135),mutS(141),recA(39),thrA(98),"","",""
GCA_000441135.1_version1.fna,ssuis,311,aroA(23),cpn60(11),dpr(5),gki(125),mutS(22),recA(107),thrA(8),"","",""
GCA_000441155.1_version1.fna,ssuis,312,aroA(114),cpn60(138),dpr(99),gki(126),mutS(134),recA(106),thrA(81),"","",""
GCA_000441215.1_version1.fna,ssuis,315,aroA(45),cpn60(46),dpr(30),gki(72),mutS(135),recA(6),thrA(55),"","",""
GCA_000441275.1_version1.fna,ssuis,317,aroA(116),cpn60(67),dpr(44),gki(128),mutS(43),recA(109),thrA(12),"","",""
GCA_000441355.1_version1.fna,ssuis,330,aroA(16),cpn60(110),dpr(98),gki(136),mutS(133),recA(113),thrA(81),"","",""
GCA_000441415.1_version1.fna,ssuis,345,aroA(118),cpn60(150),dpr(101),gki(39),mutS(148),recA(110),thrA(95),"","",""
GCA_000441455.1_version1.fna,ssuis,321,aroA(31),cpn60(141),dpr(101),gki(130),mutS(132),recA(110),thrA(95),"","",""
GCA_000463385.1_ASM46338v1.fna,-,-,"","","","","","","","","",""
GCA_000466185.1_ASM46618v1.fna,-,-,"","","","","","","","","",""
GCA_000478255.1_ASM47825v2.fna,-,-,"","","","","","","","","",""
GCA_000496575.1_DSM465V1.0.fna,-,-,"","","","","","","","","",""
GCA_000510405.1_SaBV3L5v1.0.fna,sagalactiae,110,adhP(1),pheS(1),atr(3),glnA(2),sdhA(2),glcK(2),tkt(9),"","",""
GCA_000621745.1_ASM62174v1.fna,-,-,"","","","","","","","","",""
GCA_000640935.1_Stap_aure_VET0077R_V1.fna,saureus,398,arcC(3),aroE(35),glpF(19),gmk(2),pta(20),tpi(26),yqiL(39),"","",""
GCA_000643015.1_Stap_aure_VET0283R_V1.fna,saureus,398,arcC(3),aroE(35),glpF(19),gmk(2),pta(20),tpi(26),yqiL(39),"","",""
GCA_000643075.1_Stap_aure_VET0287R_V1.fna,saureus,398,arcC(3),aroE(35),glpF(19),gmk(2),pta(20),tpi(26),yqiL(39),"","",""
GCA_000644315.1_Stap_aure_VET0396R_V1.fna,saureus,398,arcC(3),aroE(35),glpF(19),gmk(2),pta(20),tpi(26),yqiL(39),"","",""
GCA_000683935.1_Stap_aure_VET0184R_V1.fna,saureus,398,arcC(3),aroE(35),glpF(19),gmk(2),pta(20),tpi(26),yqiL(39),"","",""
GCA_000683955.1_Stap_aure_VET0183R_V1.fna,saureus,398,arcC(3),aroE(35),glpF(19),gmk(2),pta(20),tpi(26),yqiL(39),"","",""
GCA_000684235.1_Stap_aure_VET0078R_V1.fna,saureus,398,arcC(3),aroE(35),glpF(19),gmk(2),pta(20),tpi(26),yqiL(39),"","",""
GCA_000703145.1_ASM70314v1.fna,-,-,"","","","","","","","","",""
GCA_000724125.1_BSUBE1.fna,bsubtilis,81,glpF(3),ilvD(48),pta(60),purH(64),pycA(2),rpoD(41),tpiA(1),"","",""
GCA_000743215.1_BST.fna,bsubtilis,7,glpF(9),ilvD(4),pta(6),purH(7),pycA(5),rpoD(4),tpiA(5),"","",""
GCA_000761115.1_ASM76111v1.fna,-,-,"","","","","","","","","",""
GCA_000761565.1_ASM76156v1.fna,-,-,"","","","","","","","","",""
GCA_000785515.1_ASM78551v1.fna,-,-,"","","","","","","","","",""
GCA_000807375.1_ASM80737v1.fna,-,-,"","","","","","","","","",""
GCA_000815295.1_ASM81529v1.fna,bsubtilis,-,glpF(~21),ilvD(~8),pta(~7),purH(~27),pycA(~22),rpoD(~8),tpiA(~24),"","",""
GCA_000832165.1_ASM83216v1.fna,-,-,"","","","","","","","","",""
GCA_000832175.1_ASM83217v1.fna,-,-,"","","","","","","","","",""
GCA_000832185.1_ASM83218v1.fna,-,-,"","","","","","","","","",""
GCA_000832195.1_ASM83219v1.fna,bsubtilis,145,glpF(59),ilvD(48),pta(55),purH(56),pycA(34),rpoD(1),tpiA(1),"","",""
GCA_000832245.1_ASM83224v1.fna,-,-,"","","","","","","","","",""
GCA_000876895.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000877155.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000877215.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000878265.1_ASM87826v1.fna,bsubtilis,128,glpF(75),ilvD(64),pta(35),purH(83),pycA(79),rpoD(56),tpiA(1),"","",""
GCA_000931815.1_G1A3.fna,bsubtilis,146,glpF(9),ilvD(73),pta(6),purH(68),pycA(5),rpoD(61),tpiA(5),"","",""
GCA_000931835.1_G4C10.fna,bsubtilis,150,glpF(9),ilvD(85),pta(6),purH(7),pycA(5),rpoD(61),tpiA(5),"","",""
GCA_000935945.1_Velvet_assembly.fna,ssuis,29,aroA(8),cpn60(30),dpr(5),gki(34),mutS(30),recA(3),thrA(25),"","",""
GCA_000936325.1_Velvet_assembly.fna,ssuis,29,aroA(8),cpn60(30),dpr(5),gki(34),mutS(30),recA(3),thrA(25),"","",""
GCA_000936515.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000936535.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000936575.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000936675.1_Velvet_assembly.fna,ssuis,29,aroA(8),cpn60(30),dpr(5),gki(34),mutS(30),recA(3),thrA(25),"","",""
GCA_000936735.1_Velvet_assembly.fna,ssuis,29,aroA(8),cpn60(30),dpr(5),gki(34),mutS(30),recA(3),thrA(25),"","",""
GCA_000936795.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000937195.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000937695.1_Velvet_assembly.fna,ssuis,890,aroA(25),cpn60(13),dpr(235),gki(254),mutS(117),recA(38),thrA(113),"","",""
GCA_000938095.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000938435.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000938955.1_Velvet_assembly.fna,ssuis,859,aroA(38),cpn60(10),dpr(30),gki(66),mutS(84),recA(71),thrA(174),"","",""
GCA_000939015.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000939095.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000939235.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000940395.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000940415.1_Velvet_assembly.fna,ssuis,29,aroA(8),cpn60(30),dpr(5),gki(34),mutS(30),recA(3),thrA(25),"","",""
GCA_000941295.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000941655.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000941675.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000941715.1_Velvet_assembly.fna,ssuis,861,aroA(23),cpn60(99),dpr(52),gki(101),mutS(220),recA(194),thrA(11),"","",""
GCA_000941815.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000942055.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000942295.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000942515.1_Velvet_assembly.fna,ssuis,29,aroA(8),cpn60(30),dpr(5),gki(34),mutS(30),recA(3),thrA(25),"","",""
GCA_000942635.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000942795.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000942995.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000943035.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000943275.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000943295.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000943995.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000944195.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000944375.1_Velvet_assembly.fna,ssuis,879,aroA(63),cpn60(68),dpr(21),gki(297),mutS(7),recA(30),thrA(8),"","",""
GCA_000944415.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000944495.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000944755.1_Velvet_assembly.fna,ssuis,29,aroA(8),cpn60(30),dpr(5),gki(34),mutS(30),recA(3),thrA(25),"","",""
GCA_000944815.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000945035.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000945095.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000945595.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000945695.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000945775.1_Velvet_assembly.fna,ssuis,877,aroA(15),cpn60(11),dpr(9),gki(7),mutS(305),recA(30),thrA(12),"","",""
GCA_000945795.1_Velvet_assembly.fna,ssuis,29,aroA(8),cpn60(30),dpr(5),gki(34),mutS(30),recA(3),thrA(25),"","",""
GCA_000946095.1_Velvet_assembly.fna,ssuis,858,aroA(38),cpn60(75),dpr(45),gki(15),mutS(84),recA(26),thrA(149),"","",""
GCA_000946495.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000946695.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000947415.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000947435.1_Velvet_assembly.fna,ssuis,1,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(1),"","",""
GCA_000959025.1_ASM95902v1.fna,bsubtilis,7,glpF(9),ilvD(4),pta(6),purH(7),pycA(5),rpoD(4),tpiA(5),"","",""
GCA_001017975.1_ASM101797v1.fna,sagalactiae,-,adhP(13),pheS(1),atr(1),glnA(13),sdhA(1),glcK(171?),tkt(5),"","",""
GCA_001018575.1_ASM101857v1.fna,sagalactiae,-,adhP(13),pheS(1),atr(1),glnA(13),sdhA(1),glcK(171?),tkt(5),"","",""
GCA_001057075.1_ASM105707v1.fna,bsubtilis,-,glpF(3),ilvD(114),pta(~2),purH(135),pycA(2),rpoD(1),tpiA(3),"","",""
GCA_001072315.1_ASM107231v1.fna,spneumoniae,-,aroE(486),gdh(~450),gki(675),recP(~139),spi(~625),xpt(~735),ddl(948),"","",""
GCA_001073635.1_ASM107363v1.fna,-,-,"","","","","","","","","",""
GCA_001094705.1_6925_3_16.fna,spneumoniae,10423,aroE(7),gdh(443),gki(2),recP(16),spi(15),xpt(1),ddl(17),"","",""
GCA_001098285.1_6631_1_5.fna,spneumoniae,4965,aroE(7),gdh(13),gki(2),recP(16),spi(15),xpt(1),ddl(17),"","",""
GCA_001110785.1_6631_1_14.fna,spneumoniae,4965,aroE(7),gdh(13),gki(2),recP(16),spi(15),xpt(1),ddl(17),"","",""
GCA_001152205.1_6630_7_5.fna,sagalactiae,106,adhP(1),pheS(1),atr(3),glnA(4),sdhA(2),glcK(5),tkt(2),"","",""
GCA_001168705.1_6899_6_6.fna,spneumoniae,4965,aroE(7),gdh(13),gki(2),recP(16),spi(15),xpt(1),ddl(17),"","",""
GCA_001183905.1_ASM118390v1.fna,bsubtilis,-,glpF(59),ilvD(48),pta(55),purH(56),"pycA(34,34)",rpoD(1),tpiA(1),"","",""
GCA_001193475.1_6805_4_3.fna,spneumoniae,10423,aroE(7),gdh(443),gki(2),recP(16),spi(15),xpt(1),ddl(17),"","",""
GCA_001221465.1_6630_8_23.fna,sagalactiae,19,adhP(1),pheS(1),atr(3),glnA(2),sdhA(2),glcK(2),tkt(2),"","",""
GCA_001286745.1_Bacillus_JRS9.fna,bsubtilis,-,glpF(3),ilvD(48),pta(2),purH(112),pycA(~34),rpoD(1),tpiA(3),"","",""
GCA_001286865.1_Bacillus_JRS6.fna,bsubtilis,-,glpF(~81),ilvD(64),pta(2),purH(~66),pycA(2),rpoD(41),tpiA(3),"","",""
GCA_001286885.1_Bacillus_JRS11.fna,bsubtilis,-,glpF(3),ilvD(48),pta(2),purH(112),pycA(~34),rpoD(1),tpiA(3),"","",""
GCA_001293215.1_Ssuis26-14_v1.0.fna,ssuis,28,aroA(2),cpn60(30),dpr(5),gki(34),mutS(31),recA(3),thrA(25),"","",""
GCA_001398975.1_Mother12.fna,sagalactiae,27,adhP(1),pheS(1),atr(3),glnA(4),sdhA(2),glcK(2),tkt(2),"","",""
GCA_001398995.1_Child12-1.fna,sagalactiae,27,adhP(1),pheS(1),atr(3),glnA(4),sdhA(2),glcK(2),tkt(2),"","",""
GCA_001399015.1_Child12-2.fna,sagalactiae,27,adhP(1),pheS(1),atr(3),glnA(4),sdhA(2),glcK(2),tkt(2),"","",""
GCA_001412125.1_ASM141212v1.fna,-,-,"","","","","","","","","",""
GCA_001421115.1_ASM142111v1.fna,-,-,"","","","","","","","","",""
GCA_001439585.2_ASM143958v2.fna,-,-,"","","","","","","","","",""
GCA_001456475.1_ASM145647v1.fna,-,-,"","","","","","","","","",""
GCA_001456495.1_ASM145649v1.fna,-,-,"","","","","","","","","",""
GCA_001456505.1_ASM145650v1.fna,-,-,"","","","","","","","","",""
GCA_001456525.1_ASM145652v1.fna,-,-,"","","","","","","","","",""
GCA_001456545.1_ASM145654v1.fna,-,-,"","","","","","","","","",""
GCA_001456575.1_ASM145657v1.fna,-,-,"","","","","","","","","",""
GCA_001456595.1_ASM145659v1.fna,-,-,"","","","","","","","","",""
GCA_001456615.1_ASM145661v1.fna,-,-,"","","","","","","","","",""
GCA_001456655.1_ASM145665v1.fna,-,-,"","","","","","","","","",""
GCA_001456725.1_ASM145672v1.fna,-,-,"","","","","","","","","",""
GCA_001456775.1_ASM145677v1.fna,-,-,"","","","","","","","","",""
GCA_001456865.1_ASM145686v1.fna,-,-,"","","","","","","","","",""
GCA_001465345.1_ASM146534v1.fna,-,-,"","","","","","","","","",""
GCA_001543085.1_ASM154308v1.fna,-,-,"","","","","","","","","",""
GCA_001566945.1_ASM156694v1.fna,bsubtilis,-,glpF(~19),ilvD(~19),pta(~8),purH(~25),pycA(~21),rpoD(5),tpiA(7),"","",""
GCA_001584345.1_ASM158434v1.fna,-,-,"","","","","","","","","",""
GCA_001592395.1_ASM159239v1.fna,-,-,"","","","","","","","","",""
GCA_001613065.1_ASM161306v1.fna,-,-,"","","","","","","","","",""
GCA_001613305.1_ASM161330v1.fna,-,-,"","","","","","","","","",""
GCA_001689125.2_ASM168912v2.fna,-,-,"","","","","","","","","",""
GCA_001694315.1_ASM169431v1.fna,sagalactiae,196,adhP(1),pheS(1),atr(3),glnA(1),sdhA(1),glcK(12),tkt(2),"","",""
GCA_001695175.1_ASM169517v1.fna,sagalactiae,196,adhP(1),pheS(1),atr(3),glnA(1),sdhA(1),glcK(12),tkt(2),"","",""
GCA_001708205.1_ASM170820v1.fna,sagalactiae,103,adhP(16),pheS(1),atr(6),glnA(2),sdhA(9),glcK(9),tkt(2),"","",""
GCA_001721045.1_ASM172104v1.fna,-,-,"","","","","","","","","",""
GCA_001886065.1_ASM188606v1.fna,-,-,"","","","","","","","","",""
GCA_001908025.1_ASM190802v1.fna,-,-,"","","","","","","","","",""
GCA_001949975.2_ASM194997v2.fna,-,-,"","","","","","","","","",""
GCA_002042905.1_ASM204290v1.fna,-,-,"","","","","","","","","",""
GCA_002072065.1_ASM207206v1.fna,-,-,"","","","","","","","","",""
GCA_002077325.1_ASM207732v1.fna,-,-,"","","","","","","","","",""
GCA_002078475.4_ASM207847v4.fna,-,-,"","","","","","","","","",""
GCA_002078995.2_ASM207899v2.fna,-,-,"","","","","","","","","",""
GCA_002078995.3_ASM207899v3.fna,-,-,"","","","","","","","","",""
GCA_002079715.1_ASM207971v1.fna,lsalivarius,-,pstB(3),rpsB(2),nrdB(6?),rpoA(5),parB(7),"","","","",""
GCA_002117565.1_ASM211756v1.fna,-,-,"","","","","","","","","",""
GCA_002214425.1_ASM221442v1.fna,sagalactiae,103,adhP(16),pheS(1),atr(6),glnA(2),sdhA(9),glcK(9),tkt(2),"","",""
GCA_002221555.2_ASM222155v2.fna,-,-,"","","","","","","","","",""
GCA_002239235.1_ASM223923v1.fna,sagalactiae,106,adhP(1),pheS(1),atr(3),glnA(4),sdhA(2),glcK(5),tkt(2),"","",""
GCA_002272405.1_assembly-7702_v1.fna,bsubtilis,-,glpF(3),ilvD(114),pta(~2),purH(135),pycA(2),rpoD(1),tpiA(3),"","",""
GCA_002563455.1_ASM256345v1.fna,-,-,"","","","","","","","","",""
GCA_002563475.1_ASM256347v1.fna,-,-,"","","","","","","","","",""
GCA_002563575.1_ASM256357v1.fna,-,-,"","","","","","","","","",""
GCA_002706565.1_ASM270656v1.fna,-,-,"","","","","","","","","",""
GCA_002759625.1_ASM275962v1.fna,ssuis,431,aroA(91),cpn60(110),dpr(74),gki(129),mutS(133),recA(34),thrA(81),"","",""
GCA_002759675.1_ASM275967v1.fna,ssuis,408,aroA(144),cpn60(110),dpr(126),gki(159),mutS(133),recA(34),thrA(81),"","",""
GCA_002759735.1_ASM275973v1.fna,ssuis,406,aroA(142),cpn60(77),dpr(74),gki(158),mutS(109),recA(113),thrA(111),"","",""
GCA_002760075.1_ASM276007v1.fna,ssuis,399,aroA(62),cpn60(110),dpr(74),gki(129),mutS(133),recA(34),thrA(81),"","",""
GCA_002760135.1_ASM276013v1.fna,ssuis,404,aroA(91),cpn60(167),dpr(74),gki(129),mutS(108),recA(34),thrA(94),"","",""
GCA_002760435.1_ASM276043v1.fna,-,-,"","","","","","","","","",""
GCA_002803825.1_ASM280382v1.fna,ssuis,383,aroA(137),cpn60(145),dpr(121),gki(103),mutS(137),recA(38),thrA(98),"","",""
GCA_002804185.1_ASM280418v1.fna,-,-,"","","","","","","","","",""
GCA_002804285.1_ASM280428v1.fna,-,-,"","","","","","","","","",""
GCA_002810005.1_ASM281000v1.fna,-,-,"","","","","","","","","",""
GCA_002811125.1_ASM281112v1.fna,bsubtilis,-,glpF(~21),ilvD(~8),pta(~7),purH(~27),pycA(~22),rpoD(~8),tpiA(~24),"","",""
GCA_002865715.1_ASM286571v1.fna,bsubtilis,-,glpF(~3),ilvD(~48),pta(2),purH(135),pycA(34),rpoD(60),tpiA(1),"","",""
GCA_002866835.1_ASM286683v1.fna,-,-,"","","","","","","","","",""
GCA_002879585.1_ASM287958v1.fna,-,-,"","","","","","","","","",""
GCA_002926075.1_ASM292607v1.fna,-,-,"","","","","","","","","",""
GCA_002960085.1_ASM296008v1.fna,ssuis,-,aroA(162),cpn60(110),dpr(74),gki(129),mutS(133),recA(34),thrA(81),"","",""
GCA_002960125.1_ASM296012v1.fna,ssuis,-,aroA(162),cpn60(110),dpr(74),gki(129),mutS(133),recA(34),thrA(81),"","",""
GCA_002960145.1_ASM296014v1.fna,ssuis,-,aroA(162),cpn60(110),dpr(74),gki(129),mutS(133),recA(34),thrA(81),"","",""
GCA_002960305.1_ASM296030v1.fna,ssuis,7,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(3),"","",""
GCA_002960325.1_ASM296032v1.fna,ssuis,7,aroA(1),cpn60(1),dpr(1),gki(1),mutS(1),recA(1),thrA(3),"","",""
GCA_002960345.1_ASM296034v1.fna,ssuis,934,aroA(63),cpn60(55),dpr(217),gki(86),mutS(43),recA(68),thrA(12),"","",""
GCA_002960355.1_ASM296035v1.fna,ssuis,-,aroA(312),cpn60(266?),dpr(181),gki(7),mutS(11),recA(156),thrA(175),"","",""
