nucleotide_acc,detail,mge_class,genus,species
NZ_BCEE01000029.1, NZ_BCEE01000029.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_BCEO01000032.1, NZ_BCEO01000032.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_BCEO01000032.1, NZ_BCEO01000032.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_BCFB01000042.1, NZ_BCFB01000042.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus ruminantium
NZ_CDSW01000109.1, NZ_CDSW01000109.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CDSX01000002.1, NZ_CDSX01000002.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CDSX01000002.1, NZ_CDSX01000002.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CDTQ01000002.1, NZ_CDTQ01000002.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CDTQ01000002.1, NZ_CDTQ01000002.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CDTS01000001.1, NZ_CDTS01000001.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CDTS01000001.1, NZ_CDTS01000001.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CDUB01000005.1, NZ_CDUB01000005.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CDVC01000006.1, NZ_CDVC01000006.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CDVC01000006.1, NZ_CDVC01000006.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CDVQ01000002.1, NZ_CDVQ01000002.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CDVS01000004.1, NZ_CDVS01000004.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CDVS01000004.1, NZ_CDVS01000004.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CDWD01000002.1, NZ_CDWD01000002.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CDWD01000002.1, NZ_CDWD01000002.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CDWM01000002.1, NZ_CDWM01000002.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEBE01000002.1, NZ_CEBE01000002.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEBE01000002.1, NZ_CEBE01000002.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEBK01000003.1, NZ_CEBK01000003.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEBK01000003.1, NZ_CEBK01000003.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEBM01000009.1, NZ_CEBM01000009.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CECQ01000016.1, NZ_CECQ01000016.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CECQ01000016.1, NZ_CECQ01000016.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CECX01000005.1, NZ_CECX01000005.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CECX01000005.1, NZ_CECX01000005.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEDD01000051.1, NZ_CEDD01000051.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis_W
NZ_CEDD01000051.1, NZ_CEDD01000051.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis_W
NZ_CEDG01000006.1, NZ_CEDG01000006.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis_W
NZ_CEDK01000055.1, NZ_CEDK01000055.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEDK01000055.1, NZ_CEDK01000055.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEDN01000007.1, NZ_CEDN01000007.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEDQ01000001.1, NZ_CEDQ01000001.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEDQ01000001.1, NZ_CEDQ01000001.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEEG01000031.1, NZ_CEEG01000031.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEEI01000021.1, NZ_CEEI01000021.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEFA01000040.1, NZ_CEFA01000040.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEGR01000001.1, NZ_CEGR01000001.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEGR01000001.1, NZ_CEGR01000001.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEHA01000002.1, NZ_CEHA01000002.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEHA01000002.1, NZ_CEHA01000002.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEHE01000002.1, NZ_CEHE01000002.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEHE01000002.1, NZ_CEHE01000002.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEHF01000001.1, NZ_CEHF01000001.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEHF01000001.1, NZ_CEHF01000001.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEHL01000002.1, NZ_CEHL01000002.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEHL01000002.1, NZ_CEHL01000002.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEIF01000001.1, NZ_CEIF01000001.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEIF01000001.1, NZ_CEIF01000001.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEIJ01000001.1, NZ_CEIJ01000001.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEIJ01000001.1, NZ_CEIJ01000001.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEIK01000001.1, NZ_CEIK01000001.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEIK01000001.1, NZ_CEIK01000001.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEIM01000002.1, NZ_CEIM01000002.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEIM01000002.1, NZ_CEIM01000002.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEIN01000002.1, NZ_CEIN01000002.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEIN01000002.1, NZ_CEIN01000002.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEJH01000002.1, NZ_CEJH01000002.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEJH01000002.1, NZ_CEJH01000002.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEJI01000001.1, NZ_CEJI01000001.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEJI01000001.1, NZ_CEJI01000001.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEJT01000045.1, NZ_CEJT01000045.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEJY01000001.1, NZ_CEJY01000001.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEJY01000001.1, NZ_CEJY01000001.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEKB01000003.1, NZ_CEKB01000003.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEKB01000003.1, NZ_CEKB01000003.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEKC01000001.1, NZ_CEKC01000001.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEKC01000001.1, NZ_CEKC01000001.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEKD01000001.1, NZ_CEKD01000001.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEKD01000001.1, NZ_CEKD01000001.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEKI01000001.1, NZ_CEKI01000001.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEKI01000001.1, NZ_CEKI01000001.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEKJ01000002.1, NZ_CEKJ01000002.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEKJ01000002.1, NZ_CEKJ01000002.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEKK01000001.1, NZ_CEKK01000001.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEKK01000001.1, NZ_CEKK01000001.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEKP01000001.1, NZ_CEKP01000001.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CEKP01000001.1, NZ_CEKP01000001.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CKGJ01000002.1, NZ_CKGJ01000002.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus pneumoniae
NZ_CKGJ01000002.1, NZ_CKGJ01000002.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus pneumoniae
NZ_CKGW01000003.1, NZ_CKGW01000003.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus pneumoniae
NZ_CKGW01000003.1, NZ_CKGW01000003.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus pneumoniae
NZ_CLFO01000002.1, NZ_CLFO01000002.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus pneumoniae
NZ_CLFO01000002.1, NZ_CLFO01000002.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus pneumoniae
NZ_CP008813.1, NZ_CP008813.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus agalactiae
NZ_CP008813.1, NZ_CP008813.1_ICE6,ICE_element,g__Streptococcus,s__Streptococcus agalactiae
NZ_CP008813.1, NZ_CP008813.1_ICE7,ICE_element,g__Streptococcus,s__Streptococcus agalactiae
NZ_CP024974.1, NZ_CP024974.1_ICE12,ICE_element,g__Streptococcus,s__Streptococcus suis_P
NZ_CP024974.1, NZ_CP024974.1_ICE15,ICE_element,g__Streptococcus,s__Streptococcus suis_P
NZ_CP031379.1, NZ_CP031379.1_ICE7,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CP058741.1, NZ_CP058741.1_ICE7,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CP058741.1, NZ_CP058741.1_ICE8,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CP113114.1, NZ_CP113114.1_ICE10,ICE_element,g__Streptococcus,s__Streptococcus pneumoniae
NZ_CP113115.1, NZ_CP113115.1_ICE9,ICE_element,g__Streptococcus,s__Streptococcus pneumoniae
NZ_CP116604.1, NZ_CP116604.1_ICE8,ICE_element,g__Streptococcus,s__Streptococcus suis_P
NZ_CP116958.1, NZ_CP116958.1_ICE17,ICE_element,g__Streptococcus,s__Streptococcus pasteurianus
NZ_CP116958.1, NZ_CP116958.1_IME5,ICE_element,g__Streptococcus,s__Streptococcus pasteurianus
NZ_CQDE01000008.1, NZ_CQDE01000008.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus agalactiae
NZ_CQDE01000008.1, NZ_CQDE01000008.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus agalactiae
NZ_CRTO01000002.1, NZ_CRTO01000002.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus pneumoniae
NZ_CRTO01000002.1, NZ_CRTO01000002.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus pneumoniae
NZ_CZEY01000059.1, NZ_CZEY01000059.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_CZFK01000069.1, NZ_CZFK01000069.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIFD01000006.1, NZ_FIFD01000006.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIFD01000006.1, NZ_FIFD01000006.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIFF01000008.1, NZ_FIFF01000008.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIFH01000002.1, NZ_FIFH01000002.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIFH01000002.1, NZ_FIFH01000002.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIFI01000007.1, NZ_FIFI01000007.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIFI01000007.1, NZ_FIFI01000007.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIFU01000007.1, NZ_FIFU01000007.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIFU01000007.1, NZ_FIFU01000007.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIGD01000009.1, NZ_FIGD01000009.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIGD01000009.1, NZ_FIGD01000009.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIHC01000008.1, NZ_FIHC01000008.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIHC01000008.1, NZ_FIHC01000008.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIHF01000004.1, NZ_FIHF01000004.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIHK01000008.1, NZ_FIHK01000008.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIHK01000008.1, NZ_FIHK01000008.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIHO01000009.1, NZ_FIHO01000009.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIHO01000009.1, NZ_FIHO01000009.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIIF01000004.1, NZ_FIIF01000004.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIIH01000001.1, NZ_FIIH01000001.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIIH01000001.1, NZ_FIIH01000001.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIII01000009.1, NZ_FIII01000009.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIIK01000010.1, NZ_FIIK01000010.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIIN01000005.1, NZ_FIIN01000005.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis_W
NZ_FIIT01000008.1, NZ_FIIT01000008.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIIT01000008.1, NZ_FIIT01000008.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIIV01000010.1, NZ_FIIV01000010.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIIV01000010.1, NZ_FIIV01000010.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIJC01000008.1, NZ_FIJC01000008.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIJC01000008.1, NZ_FIJC01000008.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIJE01000011.1, NZ_FIJE01000011.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIJR01000007.1, NZ_FIJR01000007.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIJR01000007.1, NZ_FIJR01000007.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIJV01000008.1, NZ_FIJV01000008.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIJV01000008.1, NZ_FIJV01000008.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIJX01000005.1, NZ_FIJX01000005.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis_W
NZ_FIKG01000008.1, NZ_FIKG01000008.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIKG01000008.1, NZ_FIKG01000008.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIKR01000008.1, NZ_FIKR01000008.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIKR01000008.1, NZ_FIKR01000008.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIKX01000007.1, NZ_FIKX01000007.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIKX01000007.1, NZ_FIKX01000007.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIKY01000009.1, NZ_FIKY01000009.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIKY01000009.1, NZ_FIKY01000009.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILC01000006.1, NZ_FILC01000006.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILC01000006.1, NZ_FILC01000006.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILG01000009.1, NZ_FILG01000009.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILG01000009.1, NZ_FILG01000009.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILH01000009.1, NZ_FILH01000009.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILH01000009.1, NZ_FILH01000009.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILI01000009.1, NZ_FILI01000009.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILI01000009.1, NZ_FILI01000009.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILM01000006.1, NZ_FILM01000006.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILM01000006.1, NZ_FILM01000006.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILN01000006.1, NZ_FILN01000006.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILN01000006.1, NZ_FILN01000006.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILT01000008.1, NZ_FILT01000008.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILT01000008.1, NZ_FILT01000008.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILV01000007.1, NZ_FILV01000007.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILW01000009.1, NZ_FILW01000009.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILW01000009.1, NZ_FILW01000009.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILZ01000008.1, NZ_FILZ01000008.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FILZ01000008.1, NZ_FILZ01000008.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIMQ01000006.1, NZ_FIMQ01000006.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIMZ01000009.1, NZ_FIMZ01000009.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIMZ01000009.1, NZ_FIMZ01000009.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FINC01000008.1, NZ_FINC01000008.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FINC01000008.1, NZ_FINC01000008.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FINI01000008.1, NZ_FINI01000008.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FION01000008.1, NZ_FION01000008.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIOP01000007.1, NZ_FIOP01000007.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIPG01000009.1, NZ_FIPG01000009.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIPG01000009.1, NZ_FIPG01000009.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIPO01000007.1, NZ_FIPO01000007.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIRQ01000009.1, NZ_FIRQ01000009.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIRQ01000009.1, NZ_FIRQ01000009.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIRV01000009.1, NZ_FIRV01000009.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FIRV01000009.1, NZ_FIRV01000009.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FISD01000009.1, NZ_FISD01000009.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FISD01000009.1, NZ_FISD01000009.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FISF01000010.1, NZ_FISF01000010.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FISF01000010.1, NZ_FISF01000010.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FITE01000009.1, NZ_FITE01000009.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FITE01000009.1, NZ_FITE01000009.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_FYOD01000001.1, NZ_FYOD01000001.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus pneumoniae
NZ_JAAADK010000004.1, NZ_JAAADK010000004.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus agalactiae
NZ_JAFFHI010000008.1, NZ_JAFFHI010000008.1_ICE2,ICE_element,g__Streptococcus,s__Streptococcus suis_W
NZ_JAFFHJ010000004.1, NZ_JAFFHJ010000004.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis_W
NZ_JAGUAK010000001.1, NZ_JAGUAK010000001.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_JAGUAK010000001.1, NZ_JAGUAK010000001.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_JAGUBT010000006.1, NZ_JAGUBT010000006.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_JAGUBT010000006.1, NZ_JAGUBT010000006.1_ICE6,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_JAGZHU010000002.1, NZ_JAGZHU010000002.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus pasteurianus
NZ_JAILYK010000003.1, NZ_JAILYK010000003.1_ICE3,ICE_element,g__Streptococcus,s__Streptococcus suis_W
NZ_JAIMDX010000010.1, NZ_JAIMDX010000010.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_JAKTAH010000006.1, NZ_JAKTAH010000006.1_ICE6,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_JAKTAY010000006.1, NZ_JAKTAY010000006.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_JAKTAY010000006.1, NZ_JAKTAY010000006.1_ICE6,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_JAKTAZ010000006.1, NZ_JAKTAZ010000006.1_ICE6,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_JAKTBA010000006.1, NZ_JAKTBA010000006.1_ICE5,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_JAKTBA010000006.1, NZ_JAKTBA010000006.1_ICE6,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_JAKTBB010000006.1, NZ_JAKTBB010000006.1_ICE4,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_JAKTBB010000006.1, NZ_JAKTBB010000006.1_ICE6,ICE_element,g__Streptococcus,s__Streptococcus suis
NZ_JAKTBC010000006.1, NZ_JAKTBC010000006.1_ICE6,ICE_element,g__Streptococcus,s__Streptococcus suis
