protein_acc	n	nucleotide_acc	taxid	superkingdom	phylum	class	order	family	genus	species	type	evalue
WP_001058290.1	622	NZ_VZMJ01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZLR01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZLR01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZLO01000013.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZLO01000013.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZLN01000018.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZLN01000018.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZLK01000008.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZLK01000008.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZLI01000008.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZLI01000008.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZKT01000008.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZKT01000008.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZKS01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZKS01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZKP01000015.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZKP01000015.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZKO01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZKO01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZKI01000018.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZKI01000018.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZKH01000013.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZKH01000013.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZKD01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZKD01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZKB01000006.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZKB01000006.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZKA01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZKA01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZJY01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZJY01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZJX01000013.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZJX01000013.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZJO01000013.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZJO01000013.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZJJ01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZJJ01000014.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZJF01000016.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZJF01000016.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VZJE01000008.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VZJE01000008.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_VYRC01000025.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	5.2e-19
WP_001058290.1	622	NZ_VYRC01000025.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	4.6e-19
WP_001058290.1	622	NZ_VYJT01000010.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	5.2e-19
WP_001058290.1	622	NZ_VYJT01000010.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	4.6e-19
WP_001058290.1	622	NZ_VIEC01000009.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_VIEC01000009.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_UHET01000003.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	5.2e-19
WP_001058290.1	622	NZ_UHET01000003.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	4.6e-19
WP_001058290.1	622	NZ_UAVB01000001.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	5.2e-19
WP_001058290.1	622	NZ_UAVB01000001.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	4.6e-19
WP_001058290.1	622	NZ_SSXN01000004.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_SSXN01000004.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_QVEY01000014.1	197614	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pasteurianus	nisins	5.2e-19
WP_001058290.1	622	NZ_QVEY01000014.1	197614	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pasteurianus	nisins	4.6e-19
WP_001058290.1	622	NZ_PXOP01000005.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_PXOP01000005.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_PXOO01000013.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_PXOO01000013.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_PXON01000003.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_PXON01000003.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_PXOL01000015.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_PXOL01000015.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_PXOK01000015.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_PXOK01000015.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_PXOJ01000013.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_PXOJ01000013.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_PXOI01000011.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_PXOI01000011.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_PONB01000102.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_PONB01000102.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POMY01000050.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POMY01000050.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POMX01000088.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POMX01000088.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POMS01000058.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POMS01000058.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POMO01000237.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POMO01000237.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POME01000067.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POME01000067.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POMD01000569.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POMD01000569.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POLZ01000146.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POLZ01000146.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POLW01000411.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POLW01000411.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POKR01000160.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POKR01000160.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POKE01000285.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POKE01000285.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POKA01000022.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POKA01000022.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POJZ01000036.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POJZ01000036.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POJY01000182.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POJY01000182.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POJT01000064.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POJT01000064.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POJR01000035.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POJR01000035.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POJP01000024.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POJP01000024.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POJO01000046.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POJO01000046.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POJM01000034.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POJM01000034.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POJB01000048.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POJB01000048.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POIY01000040.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POIY01000040.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POIX01000037.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POIX01000037.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POIW01000134.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POIW01000134.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_POIV01000053.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_POIV01000053.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_PKOX01000004.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_PKOX01000004.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_PKOV01000006.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	5.2e-19
WP_001058290.1	622	NZ_PKOV01000006.1	1307	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	nisins	4.6e-19
WP_001058290.1	622	NZ_NAYM01000006.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	5.2e-19
WP_001058290.1	622	NZ_NAYM01000006.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	4.6e-19
WP_001058290.1	622	NZ_NAYF01000033.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	5.2e-19
WP_001058290.1	622	NZ_NAYF01000033.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	4.6e-19
WP_001058290.1	622	NZ_NAXY01000046.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	5.2e-19
WP_001058290.1	622	NZ_NAXY01000046.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	4.6e-19
WP_001058290.1	622	NZ_NAXT01000065.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	5.2e-19
WP_001058290.1	622	NZ_NAXT01000065.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	4.6e-19
WP_001058290.1	622	NZ_NAXI01000010.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	5.2e-19
WP_001058290.1	622	NZ_NAXI01000010.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	4.6e-19
WP_001058290.1	622	NZ_NAXE01000049.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	5.2e-19
WP_001058290.1	622	NZ_NAXE01000049.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	4.6e-19
WP_001058290.1	622	NZ_NAXD01000028.1	1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	nisins	5.2e-19
